"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"223",261624,84295.4,45228,14.875,4.6699,9,2012,"2012-9",2012-09-01,"CFK2",5.78455823825949,7.64834615724772,18050.7933788732,56023.4694533073,0.756314910351949,0.243685089648051
"204",265126,84152.3,45062.2,14.875,4.7299,10,2012,"2012-10",2012-10-01,"CFK2",5.88355650634013,7.75102635912139,17791.5600752659,56053.1935136049,0.759068055473243,0.240931944526757
"185",271961,82755.2,45314.9,15.5625,4.7974,11,2012,"2012-11",2012-11-01,"CFK2",6.00158005424264,7.82780498246714,17250.0104223121,56689.2483428524,0.766700252201619,0.233299747798381
"48",292138,80377.5,44134,15.4375,4.88,12,2012,"2012-12",2012-12-01,"CFK2",6.6193410975665,8.44055603389677,16470.7991803279,59864.3442622951,0.784230454840134,0.215769545159866
"67",298282,83261.2,42953.9,14.9375,4.9486,1,2013,"2013-1",2013-01-01,"CFK2",6.94423556417461,8.88262067006721,16825.203087742,60276.037667219,0.781777790824211,0.218222209175789
"86",292390,93122.9,42180.9,13.9375,5.0111,2,2013,"2013-2",2013-02-01,"CFK2",6.93181036914812,9.13951338164904,18583.325018459,58348.4664045818,0.758444140260936,0.241555859739065
"146",297163,96576.6,41152.9,14.875,5.084,3,2013,"2013-3",2013-03-01,"CFK2",7.220949191916,9.56772426730558,18996.1841070024,58450.6294256491,0.754719616721305,0.245280383278695
"10",297658,94574.9,40075.2,15.3125,5.1555,4,2013,"2013-4",2013-04-01,"CFK2",7.42748632570767,9.78742214636484,18344.4670739986,57736.0100863156,0.758880756815657,0.241119243184343
"166",300486,94742.5,39015.4,16.625,5.2399,5,2013,"2013-5",2013-05-01,"CFK2",7.7017280355962,10.130064026,18080.9748277639,57345.7508731083,0.760284240635481,0.239715759364519
"126",311003,94597,38234,17.125,5.3292,6,2013,"2013-6",2013-06-01,"CFK2",8.13419992676675,10.6083590521525,17750.6942880733,58358.2901748855,0.766772682445759,0.233227317554241
"106",323597,92908,37310.2,17.6875,5.4409,7,2013,"2013-7",2013-07-01,"CFK2",8.67315104180626,11.163301188415,17075.8514216398,59474.9030491279,0.77693425048919,0.22306574951081
"30",326429,94630.6,37001.2,18.0625,5.5814,8,2013,"2013-8",2013-08-01,"CFK2",8.82211928261786,11.3796201204285,16954.6350378041,58485.1470957108,0.775256044512463,0.224743955487537
"224",329769,99490.8,35611.8,17.1875,5.7371,9,2013,"2013-9",2013-09-01,"CFK2",9.26010479672468,12.0538641686183,17341.6534486064,57480.0857576127,0.768227073674264,0.231772926325736
"205",334634,102400,34221.2,19.1875,5.8482,10,2013,"2013-10",2013-10-01,"CFK2",9.77855832057321,12.7708554930862,17509.6610923019,57219.9993160289,0.765693287021147,0.234306712978853
"186",338343,101621,32244.4,19.1875,6.0149,11,2013,"2013-11",2013-11-01,"CFK2",10.4930778677848,13.6446638796194,16894.8777203279,56250.8104872899,0.769024283805039,0.230975716194961
"49",361580,96925.2,30611.7,21.625,6.3192,12,2013,"2013-12",2013-12-01,"CFK2",11.8118235837931,14.9781031435693,15338.2073680213,57219.2682618053,0.788606105230649,0.21139389476935
"68",368236,98895.8,29620.7,25.375,7.0967,1,2014,"2014-1",2014-01-01,"CFK2",12.4317116070856,15.7704510696911,13935.4629616582,51888.3424690349,0.788291441516078,0.211708558483923
"87",347707,121702,27678.1,26.25,7.8565,2,2014,"2014-2",2014-02-01,"CFK2",12.5625313876314,16.9595817631991,15490.6128683256,44257.2392286642,0.740733560711448,0.259266439288552
"147",351349,130690,27331.5,26.375,7.9313,3,2014,"2014-3",2014-03-01,"CFK2",12.8550939392276,17.6367561238864,16477.7527013226,44299.0430320376,0.728880858187823,0.271119141812177
"11",354170,140135,27679.9,25.8125,8.0013,4,2014,"2014-4",2014-04-01,"CFK2",12.7952051849898,17.8579041109253,17514.0289702923,44264.0570907228,0.716500945772347,0.283499054227653
"167",353311,156972,28386.4,24,8.0427,5,2014,"2014-5",2014-05-01,"CFK2",12.4464884592622,17.9763196460277,19517.3262710284,43929.4018177975,0.692382462280734,0.307617537719266
"127",366004,166062,28862.8,22.8125,8.1255,6,2014,"2014-6",2014-06-01,"CFK2",12.6808209875688,18.4343168368973,20437.1423297028,45043.8742231247,0.687892103611206,0.312107896388794
